postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Latitude,Longitude
AB535PX,AB53 5PX,AB,14.3,23.5,60.34,,14.3,60.0,60.0,,1.2,4.8,18.98,,1.3,19.0,19.0,,0,0,0,4,1,0,1,376.0,427.0,,364.0,427.0,427.0,,,
AB535PY,AB53 5PY,AB,7.0,15.3,78.12,6.3,,78.0,78.0,,1.1,3.2,18.15,1.0,,18.0,18.0,,1,0,6,0,1,0,1,370.0,321.0,319.0,,356.0,356.0,,,
AB535QH,AB53 5QH,AB,48.8,43.3,58.05,4.0,29.0,47.5,47.5,,10.0,8.0,10.8,1.0,6.0,8.7,8.7,,0,1,0,1,13,0,13,460.0,403.0,23.0,531.0,488.0,488.0,,,
AB535QJ,AB53 5QJ,AB,14.9,13.1,22.31,4.8,18.5,,,,1.1,1.6,5.37,1.0,2.2,,,,0,3,1,6,0,0,0,290.0,90.0,44.0,454.0,,,,,
AB535QL,AB53 5QL,AB,3.8,9.7,39.83,2.6,12.5,40.0,40.0,,0.5,1.8,10.0,0.4,1.0,10.0,10.0,,2,3,0,2,1,0,1,158.0,155.0,35.0,292.0,191.0,191.0,,,
AB535QP,AB53 5QP,AB,6.6,9.3,22.02,3.5,17.0,,,,1.1,1.4,3.83,0.8,2.0,,,,1,2,1,3,0,0,0,118.0,77.0,62.0,193.0,,,,,
AB535QS,AB53 5QS,AB,32.3,28.2,40.34,7.0,24.0,36.7,36.7,,6.4,5.5,8.43,1.0,4.0,7.3,7.3,,0,0,1,1,3,0,3,239.0,77.0,39.0,649.0,169.0,169.0,,,
AB535QX,AB53 5QX,AB,8.4,8.2,12.1,6.9,11.3,,,,1.0,0.9,1.17,0.7,1.0,,,,0,1,6,3,0,0,0,144.0,102.0,88.0,276.0,,,,,
AB535RJ,AB53 5RJ,AB,6.4,6.9,11.04,5.0,10.5,,,,1.1,1.1,1.16,1.0,1.0,,,,0,3,1,2,0,0,0,216.0,220.0,212.0,223.0,,,,,
AB535RL,AB53 5RL,AB,9.7,9.7,16.65,7.2,13.5,,,,1.1,2.0,7.19,1.0,3.5,,,,1,0,5,4,0,0,0,200.0,145.0,136.0,247.0,,,,,
AB535SD,AB53 5SD,AB,6.7,26.5,76.11,5.7,,58.0,58.0,,1.2,6.6,20.0,1.0,,15.0,15.0,,0,1,2,0,2,0,2,282.0,200.0,142.0,,491.0,491.0,,,
AB535SE,AB53 5SE,AB,77.2,70.6,79.67,,,70.5,70.5,,19.8,16.6,20.0,,,16.7,16.7,,0,0,0,0,6,0,6,421.0,474.0,,,421.0,421.0,,,
AB535TD,AB53 5TD,AB,8.8,9.4,13.03,8.2,11.6,,,,1.1,1.1,1.19,1.1,1.0,,,,0,0,10,5,0,0,0,185.0,79.0,146.0,262.0,,,,,
AB535TP,AB53 5TP,AB,13.5,18.8,55.0,8.0,13.8,55.0,55.0,,1.2,2.3,10.0,0.0,1.2,10.0,10.0,,0,0,1,5,1,0,1,500.0,303.0,67.0,647.0,202.0,202.0,,,
AB535TQ,AB53 5TQ,AB,75.2,80.4,330.0,1.0,19.3,80.9,88.7,330.0,19.5,16.9,50.0,1.0,4.0,17.5,18.6,50.0,1,0,0,3,31,1,32,360.0,213.0,27.0,357.0,371.0,371.0,366.0,,
AB535WD,AB53 5WD,AB,55.9,56.7,77.69,,,56.6,56.6,,15.0,14.1,20.0,,,14.1,14.1,,0,0,0,0,8,0,8,429.0,423.0,,,429.0,429.0,,,
AB535WH,AB53 5WH,AB,25.9,32.3,79.67,,16.0,48.5,48.5,,5.5,7.2,20.0,,3.5,10.8,10.8,,0,0,0,4,4,0,4,250.0,80.0,,42.0,459.0,459.0,,,
AB535WJ,AB53 5WJ,AB,77.2,65.1,79.67,,,65.1,65.1,,19.5,16.3,20.0,,,16.3,16.3,,0,0,0,0,15,0,15,456.0,301.0,,,456.0,456.0,,,
AB535XB,AB53 5XB,AB,71.4,57.6,79.67,2.0,,66.1,66.1,,16.7,14.1,20.0,0.5,,16.2,16.2,,1,1,0,0,13,0,13,510.0,334.0,164.0,,523.0,523.0,,,
AB535XD,AB53 5XD,AB,53.6,46.7,79.67,2.4,30.0,61.6,61.6,,10.0,10.3,20.0,0.6,8.0,13.5,13.5,,2,3,0,1,16,0,16,299.0,171.0,45.0,13.0,396.0,396.0,,,
AB535XL,AB53 5XL,AB,8.7,10.6,21.44,3.0,18.0,,,,0.9,1.0,2.17,0.7,1.7,,,,1,2,0,3,0,0,0,216.0,146.0,178.0,255.0,,,,,
AB535XU,AB53 5XU,AB,34.0,43.4,76.33,,26.0,52.3,52.3,,9.5,9.4,20.0,,4.0,12.0,12.0,,0,0,0,2,4,0,4,347.0,174.0,,793.0,125.0,125.0,,,
AB535YD,AB53 5YD,AB,46.2,46.7,79.67,1.7,24.5,57.4,57.4,,10.0,11.5,20.0,0.7,4.3,14.5,14.5,,2,1,0,6,25,0,25,277.0,148.0,111.0,279.0,286.0,286.0,,,
AB535YG,AB53 5YG,AB,73.4,68.3,79.91,,,68.3,68.3,,19.5,18.0,20.0,,,18.1,18.1,,0,0,0,0,20,0,20,587.0,567.0,,,587.0,587.0,,,
AB535YH,AB53 5YH,AB,44.5,44.4,79.67,7.8,19.3,59.5,59.5,,10.0,9.8,20.0,1.0,2.2,14.0,14.0,,0,0,4,11,28,0,28,363.0,228.0,83.0,501.0,349.0,349.0,,,
AB535YJ,AB53 5YJ,AB,76.4,63.6,79.91,,21.0,69.7,69.7,,19.5,15.7,20.0,,1.0,17.8,17.8,,0,0,0,3,21,0,21,398.0,489.0,,12.0,453.0,453.0,,,
AB535YL,AB53 5YL,AB,36.0,34.0,79.91,5.0,17.3,50.0,50.0,,5.0,6.5,19.35,1.0,1.8,10.7,10.7,,0,0,1,4,6,0,6,528.0,403.0,74.0,440.0,661.0,661.0,,,
AB535YS,AB53 5YS,AB,8.8,9.9,14.78,7.8,14.5,,,,1.0,0.9,1.25,0.8,1.0,,,,0,0,4,2,0,0,0,300.0,240.0,149.0,602.0,,,,,
AB535YY,AB53 5YY,AB,16.3,16.1,19.11,,16.0,,,,1.2,1.2,1.27,,1.2,,,,0,0,0,6,0,0,0,347.0,218.0,,347.0,,,,,
AB536BA,AB53 6BA,AB,14.3,13.2,18.93,7.0,15.3,,,,0.8,0.8,1.01,1.0,0.8,,,,0,0,2,6,0,0,0,120.0,106.0,106.0,125.0,,,,,
AB536SB,AB53 6SB,AB,64.2,59.2,79.67,,23.0,65.6,65.6,,19.1,14.3,20.0,,4.0,16.2,16.2,,0,0,0,3,17,0,17,370.0,214.0,,336.0,376.0,376.0,,,
AB536SD,AB53 6SD,AB,68.9,66.2,79.67,,24.0,69.5,69.5,,19.5,16.4,20.0,,1.0,17.5,17.5,,0,0,0,1,13,0,13,497.0,257.0,,34.0,533.0,533.0,,,
AB536SE,AB53 6SE,AB,67.9,62.7,79.67,,,62.8,62.8,,19.4,16.0,20.0,,,16.0,16.0,,0,0,0,0,8,0,8,292.0,192.0,,,292.0,292.0,,,
AB536SU,AB53 6SU,AB,60.0,59.7,79.67,,22.5,65.5,65.5,,16.8,13.9,20.0,,1.0,15.8,15.8,,0,0,0,2,13,0,13,267.0,68.0,,184.0,280.0,280.0,,,
AB536SX,AB53 6SX,AB,39.4,38.3,70.01,6.0,23.0,45.3,45.3,,6.2,5.8,19.44,0.5,2.3,7.2,7.2,,0,1,1,4,18,0,18,282.0,285.0,0.0,66.0,330.0,330.0,,,
AB536SY,AB53 6SY,AB,59.2,54.0,79.67,8.0,20.3,63.0,63.0,,12.7,13.0,20.0,1.0,4.0,15.4,15.4,,0,0,1,4,20,0,20,546.0,383.0,13.0,74.0,640.0,640.0,,,
AB536SZ,AB53 6SZ,AB,76.6,69.0,79.67,,,69.0,69.0,,19.5,17.0,20.0,,,17.0,17.0,,0,0,0,0,7,0,7,271.0,116.0,,,271.0,271.0,,,
AB536TA,AB53 6TA,AB,59.8,57.6,79.21,6.0,22.0,66.5,66.5,,18.5,14.2,20.0,0.0,3.5,16.8,16.8,,0,0,1,4,22,0,22,592.0,373.0,3.0,70.0,714.0,714.0,,,
AB536TD,AB53 6TD,AB,40.0,41.1,54.78,,,41.2,41.2,,7.7,8.2,10.0,,,8.2,8.2,,0,0,0,0,5,0,5,489.0,683.0,,,489.0,489.0,,,
AB536TE,AB53 6TE,AB,60.3,61.6,79.91,,,61.6,61.6,,12.1,14.3,20.0,,,14.2,14.2,,0,0,0,0,9,0,9,515.0,562.0,,,515.0,515.0,,,
AB536TF,AB53 6TF,AB,40.9,42.4,62.44,,24.5,51.5,51.5,,10.9,10.1,17.01,,12.0,9.3,9.3,,0,0,0,2,4,0,4,656.0,478.0,,346.0,811.0,811.0,,,
AB536TH,AB53 6TH,AB,59.5,60.7,76.15,,,60.7,60.7,,18.6,16.2,20.0,,,16.2,16.2,,0,0,0,0,10,0,10,344.0,219.0,,,344.0,344.0,,,
AB536TL,AB53 6TL,AB,33.7,32.0,59.75,3.0,17.5,46.5,46.5,,3.2,5.9,19.0,1.0,1.0,9.8,9.8,,0,1,0,2,4,0,4,249.0,155.0,21.0,36.0,350.0,350.0,,,
AB536TQ,AB53 6TQ,AB,6.2,5.9,9.96,6.0,,,,,0.8,0.8,1.07,0.8,,,,,0,2,3,0,0,0,0,148.0,78.0,148.0,,,,,,
AB536TR,AB53 6TR,AB,18.1,24.6,48.26,,17.0,43.5,43.5,,1.0,3.1,9.57,,0.8,8.5,8.5,,0,0,0,5,2,0,2,337.0,327.0,,216.0,473.0,473.0,,,
AB536TW,AB53 6TW,AB,43.8,45.1,77.34,7.0,19.0,48.8,48.8,,8.5,9.8,20.0,5.0,4.0,10.5,10.5,,0,0,1,1,17,0,17,432.0,273.0,51.0,11.0,480.0,480.0,,,
AB536TZ,AB53 6TZ,AB,65.6,102.7,330.0,,,74.3,102.7,330.0,14.3,19.4,50.0,,,15.6,19.4,50.0,0,0,0,0,8,1,9,694.0,433.0,,,766.0,694.0,118.0,,
AB536UE,AB53 6UE,AB,39.1,64.5,160.0,,,64.5,64.5,,8.5,13.6,30.0,,,13.7,13.7,,0,0,0,0,6,0,6,245.0,215.0,,,245.0,245.0,,,
AB536UJ,AB53 6UJ,AB,55.0,75.5,160.0,1.0,,125.0,125.0,,10.0,14.2,30.0,0.5,,23.3,23.3,,2,0,0,0,3,0,3,214.0,102.0,41.0,,329.0,329.0,,,
AB536UL,AB53 6UL,AB,2.6,2.9,5.21,2.8,,,,,0.4,0.5,0.71,0.6,,,,,2,2,1,0,0,0,0,105.0,59.0,105.0,,,,,,
AB536WE,AB53 6WE,AB,48.8,47.4,66.72,,24.0,50.3,50.3,,10.0,10.6,19.98,,1.0,11.8,11.8,,0,0,0,1,8,0,8,151.0,125.0,,125.0,155.0,155.0,,,
AB536WG,AB53 6WG,AB,34.2,34.5,39.84,,28.3,37.5,37.5,,6.3,6.3,7.62,,5.3,6.8,6.8,,0,0,0,3,6,0,6,769.0,441.0,,349.0,979.0,979.0,,,
AB536XD,AB53 6XD,AB,57.4,188.2,1000.0,1.5,18.0,86.0,279.0,665.0,9.3,26.1,115.0,0.5,1.0,17.0,38.8,82.5,1,1,0,1,4,2,6,457.0,179.0,0.0,37.0,294.0,528.0,995.0,,
AB536XG,AB53 6XG,AB,1.7,1.7,2.11,1.7,,,,,0.4,0.4,0.45,0.5,,,,,4,2,0,0,0,0,0,77.0,88.0,77.0,,,,,,
AB536XN,AB53 6XN,AB,7.0,6.9,9.04,7.0,,,,,0.8,0.9,1.0,0.8,,,,,0,1,5,0,0,0,0,71.0,69.0,71.0,,,,,,
AB536XT,AB53 6XT,AB,2.2,2.0,2.84,2.0,,,,,0.4,0.5,0.63,0.4,,,,,2,3,0,0,0,0,0,45.0,40.0,45.0,,,,,,
AB536YB,AB53 6YB,AB,3.4,3.4,4.69,3.4,,,,,0.4,0.5,0.74,0.6,,,,,0,7,0,0,0,0,0,194.0,128.0,194.0,,,,,,
AB536YE,AB53 6YE,AB,8.1,8.6,13.76,6.8,13.5,,,,0.8,0.7,0.95,0.7,1.0,,,,0,2,4,2,0,0,0,159.0,149.0,166.0,138.0,,,,,
AB538AH,AB53 8AH,AB,8.9,10.2,15.85,7.5,13.7,,,,1.2,1.2,1.21,1.3,1.3,,,,0,1,3,3,0,0,0,450.0,264.0,322.0,621.0,,,,,
AB538AN,AB53 8AN,AB,6.6,7.4,12.56,5.3,11.5,,,,0.7,0.7,1.1,0.8,1.0,,,,0,2,2,2,0,0,0,146.0,125.0,174.0,16.0,,,,,
AB538AP,AB53 8AP,AB,3.3,3.3,5.91,3.3,,,,,0.6,0.7,1.2,0.6,,,,,2,5,1,0,0,0,0,121.0,47.0,122.0,,,,,,
AB538BA,AB53 8BA,AB,55.0,69.9,330.0,4.7,21.6,80.9,95.5,330.0,10.0,13.9,50.0,0.7,1.2,18.1,19.9,50.0,1,0,2,5,16,1,17,432.0,278.0,2.0,70.0,548.0,538.0,372.0,,
AB538BD,AB53 8BD,AB,12.7,26.3,58.88,8.0,15.2,51.3,51.3,,1.2,4.1,8.9,1.0,2.4,8.0,8.0,,0,0,1,5,3,0,3,271.0,159.0,142.0,187.0,455.0,455.0,,,
AB538BG,AB53 8BG,AB,52.8,47.6,79.67,8.0,18.7,72.8,72.8,,19.5,11.5,20.0,0.0,1.3,20.0,20.0,,0,0,1,3,5,0,5,269.0,146.0,5.0,338.0,280.0,280.0,,,
AB538BH,AB53 8BH,AB,13.5,15.8,32.31,,13.0,32.0,32.0,,1.1,2.7,6.7,,2.0,6.0,6.0,,0,0,0,6,1,0,1,306.0,326.0,,265.0,556.0,556.0,,,
AB538BJ,AB53 8BJ,AB,39.8,38.9,48.63,,27.0,41.8,41.8,,8.3,8.3,10.0,,6.0,8.8,8.8,,0,0,0,1,4,0,4,213.0,105.0,,50.0,254.0,254.0,,,
AB538BP,AB53 8BP,AB,8.1,7.4,9.82,7.4,,,,,0.9,0.9,1.09,0.9,,,,,0,1,6,0,0,0,0,109.0,49.0,109.0,,,,,,
AB538BR,AB53 8BR,AB,5.2,7.9,24.31,4.7,17.5,,,,0.8,0.8,1.14,0.7,1.0,,,,0,4,2,2,0,0,0,246.0,260.0,263.0,73.0,,,,,
AB538BX,AB53 8BX,AB,55.0,120.3,330.0,9.0,13.0,125.0,207.0,330.0,10.0,19.4,50.0,1.0,1.3,23.3,34.0,50.0,0,0,1,3,3,2,5,239.0,242.0,523.0,49.0,265.0,296.0,342.0,,
AB538BY,AB53 8BY,AB,8.0,7.4,12.78,5.8,12.0,,,,1.1,1.0,1.24,1.0,1.0,,,,0,3,3,2,0,0,0,190.0,166.0,236.0,52.0,,,,,
AB538DD,AB53 8DD,AB,38.2,38.6,79.66,9.0,26.0,52.7,52.7,,8.1,6.9,15.11,1.0,2.0,10.7,10.7,,0,0,1,1,3,0,3,166.0,187.0,109.0,7.0,238.0,238.0,,,
AB538DL,AB53 8DL,AB,6.9,8.4,21.33,5.8,21.0,,,,1.1,1.3,2.28,1.4,1.0,,,,1,1,3,1,0,0,0,137.0,108.0,107.0,289.0,,,,,
AB538DS,AB53 8DS,AB,15.6,16.5,22.4,10.0,17.7,,,,1.9,1.8,3.01,1.0,1.8,,,,0,0,1,6,0,0,0,236.0,136.0,0.0,236.0,,,,,
AB538DT,AB53 8DT,AB,7.3,18.3,77.09,5.5,11.0,77.0,77.0,,0.9,4.0,20.0,0.8,1.0,20.0,20.0,,0,1,3,1,1,0,1,307.0,281.0,162.0,0.0,581.0,581.0,,,
AB538DX,AB53 8DX,AB,7.4,7.9,13.15,7.0,13.0,,,,1.0,0.8,1.17,0.8,1.0,,,,0,0,6,1,0,0,0,191.0,199.0,137.0,130.0,,,,,
AB538ED,AB53 8ED,AB,6.1,6.9,11.67,6.0,12.0,,,,0.7,0.7,1.02,0.6,1.0,,,,0,1,4,1,0,0,0,184.0,223.0,130.0,268.0,,,,,
AB538EJ,AB53 8EJ,AB,54.8,62.4,79.67,,,62.4,62.4,,10.0,13.1,20.0,,,13.0,13.0,,0,0,0,0,5,0,5,81.0,85.0,,,81.0,81.0,,,
AB538EP,AB53 8EP,AB,25.7,35.0,79.67,6.0,11.5,62.3,62.3,,5.6,8.1,20.0,1.0,1.0,15.0,15.0,,1,0,3,2,6,0,6,208.0,157.0,42.0,223.0,245.0,245.0,,,
AB538EQ,AB53 8EQ,AB,64.0,55.3,76.73,4.0,,65.6,65.6,,15.8,13.8,20.0,1.0,,16.4,16.4,,0,1,0,0,5,0,5,353.0,203.0,14.0,,421.0,421.0,,,
AB538ES,AB53 8ES,AB,15.6,30.0,80.0,3.5,16.0,63.5,63.5,,0.8,6.3,20.0,0.5,1.0,15.0,15.0,,0,2,0,1,2,0,2,98.0,67.0,48.0,281.0,58.0,58.0,,,
AB538FG,AB53 8FG,AB,31.0,30.2,50.4,4.0,23.7,39.6,39.6,,7.1,6.5,9.64,1.0,6.0,7.7,7.7,,0,1,0,6,7,0,7,407.0,187.0,0.0,397.0,415.0,415.0,,,
AB538HJ,AB53 8HJ,AB,22.4,24.5,76.33,4.5,22.2,76.0,76.0,,1.2,4.8,20.0,0.5,3.4,20.0,20.0,,0,1,1,5,1,0,1,98.0,75.0,125.0,90.0,84.0,84.0,,,
AB538HL,AB53 8HL,AB,8.2,8.9,14.65,7.4,12.5,,,,1.0,1.0,1.17,1.0,1.0,,,,0,0,5,2,0,0,0,191.0,147.0,226.0,103.0,,,,,
AB538HW,AB53 8HW,AB,55.0,47.1,80.0,6.3,,67.5,67.5,,10.0,10.3,20.0,1.0,,15.0,15.0,,0,0,3,0,6,0,6,322.0,329.0,278.0,,344.0,344.0,,,
AB538HY,AB53 8HY,AB,55.0,90.9,330.0,7.0,16.8,105.1,130.1,330.0,10.0,16.8,50.0,0.8,2.8,21.1,24.3,50.0,0,0,4,5,16,2,18,361.0,138.0,99.0,354.0,434.0,400.0,135.0,,
AB538JD,AB53 8JD,AB,55.0,81.7,160.0,7.0,,94.2,94.2,,10.0,15.8,30.0,0.0,,18.3,18.3,,0,0,1,0,6,0,6,230.0,163.0,163.0,,241.0,241.0,,,
AB538JH,AB53 8JH,AB,160.0,175.6,330.0,3.0,,107.5,218.8,330.0,30.0,28.1,50.0,0.0,,20.0,35.0,50.0,0,1,0,0,2,2,4,436.0,93.0,66.0,,69.0,529.0,989.0,,
AB538JP,AB53 8JP,AB,42.8,47.2,72.01,,29.0,51.0,51.0,,7.8,7.4,8.93,,6.0,7.8,7.8,,0,0,0,1,5,0,5,523.0,393.0,,665.0,494.0,494.0,,,
AB538JQ,AB53 8JQ,AB,78.1,61.5,79.67,4.0,,71.0,71.0,,19.5,15.6,20.0,1.0,,18.0,18.0,,0,1,0,0,6,0,6,194.0,119.0,74.0,,214.0,214.0,,,
AB538JS,AB53 8JS,AB,51.4,39.5,66.73,5.5,,53.2,53.2,,10.0,7.8,12.84,0.5,,10.8,10.8,,0,0,2,0,5,0,5,290.0,316.0,21.0,,398.0,398.0,,,
AB538LE,AB53 8LE,AB,24.1,22.8,27.67,,22.8,,,,1.2,1.3,1.41,,1.3,,,,0,0,0,6,0,0,0,644.0,386.0,,644.0,,,,,
AB538LT,AB53 8LT,AB,43.2,48.6,160.0,6.0,20.8,66.7,66.7,,10.0,10.6,30.0,0.6,3.3,15.1,15.1,,0,4,4,6,28,0,28,398.0,274.0,220.0,186.0,466.0,466.0,,,
AB538ND,AB53 8ND,AB,1.2,8.8,39.83,1.0,,40.0,40.0,,0.4,1.6,6.75,0.3,,7.0,7.0,,4,0,0,0,1,0,1,70.0,70.0,53.0,,0.0,0.0,,,
AB538NE,AB53 8NE,AB,1.4,1.5,2.27,1.5,,,,,0.4,0.4,0.45,0.5,,,,,5,1,0,0,0,0,0,41.0,16.0,34.0,,,,,,
AB538NQ,AB53 8NQ,AB,0.7,0.8,1.33,0.8,,,,,0.4,0.4,0.54,0.4,,,,,5,0,0,0,0,0,0,38.0,39.0,23.0,,,,,,
AB538PB,AB53 8PB,AB,61.0,54.9,79.67,8.0,24.0,64.8,64.8,,19.8,14.1,20.0,0.0,1.0,17.4,17.4,,0,0,1,1,8,0,8,480.0,211.0,29.0,230.0,568.0,568.0,,,
AB538PG,AB53 8PG,AB,70.9,60.6,79.67,,23.0,67.5,67.5,,15.6,13.9,20.0,,1.0,16.2,16.2,,0,0,0,2,11,0,11,329.0,240.0,,76.0,345.0,345.0,,,
AB538PL,AB53 8PL,AB,37.5,35.0,63.7,6.0,22.5,46.1,46.1,,8.4,7.7,18.63,0.7,6.5,10.1,10.1,,0,1,2,2,10,0,10,258.0,189.0,167.0,114.0,314.0,314.0,,,
AB538PW,AB53 8PW,AB,51.8,52.2,77.93,8.0,,58.6,58.6,,17.1,14.1,20.0,1.0,,16.0,16.0,,0,0,1,0,7,0,7,140.0,91.0,1.0,,159.0,159.0,,,
AB538QB,AB53 8QB,AB,73.1,58.7,79.91,,16.5,66.4,66.4,,19.0,13.9,20.0,,1.0,16.2,16.2,,0,0,0,2,11,0,11,304.0,149.0,,27.0,354.0,354.0,,,
AB538QD,AB53 8QD,AB,54.8,57.0,79.91,,22.0,60.9,60.9,,10.0,12.9,20.0,,2.8,14.1,14.1,,0,0,0,5,45,0,45,348.0,196.0,,214.0,347.0,347.0,,,
AB538QE,AB53 8QE,AB,67.2,64.7,79.67,,,64.7,64.7,,15.0,15.0,20.0,,,15.0,15.0,,0,0,0,0,6,0,6,80.0,77.0,,,81.0,81.0,,,
AB538QL,AB53 8QL,AB,43.8,48.7,79.67,,29.0,50.7,50.7,,10.0,13.0,20.0,,8.0,13.6,13.6,,0,0,0,1,10,0,10,470.0,392.0,,0.0,470.0,470.0,,,
AB538QW,AB53 8QW,AB,54.8,54.1,78.12,,22.0,62.0,62.0,,10.0,12.1,20.0,,1.0,14.8,14.8,,0,0,0,1,4,0,4,177.0,55.0,,14.0,218.0,218.0,,,
AB538RD,AB53 8RD,AB,25.4,36.3,79.91,,22.3,64.5,64.5,,4.8,7.9,20.0,,4.6,14.8,14.8,,0,0,0,8,4,0,4,425.0,355.0,,251.0,773.0,773.0,,,
AB538RF,AB53 8RF,AB,53.7,50.5,79.91,,18.7,57.8,57.8,,10.0,11.8,20.0,,1.0,14.3,14.3,,0,0,0,3,13,0,13,417.0,334.0,,409.0,418.0,418.0,,,
AB538RG,AB53 8RG,AB,45.8,45.0,74.53,,18.5,58.3,58.3,,11.1,11.9,20.0,,5.0,15.3,15.3,,0,0,0,2,4,0,4,222.0,56.0,,21.0,323.0,323.0,,,
AB538RL,AB53 8RL,AB,7.6,9.0,18.5,6.4,18.0,,,,0.6,0.7,1.59,0.6,1.0,,,,0,2,5,2,0,0,0,263.0,173.0,133.0,716.0,,,,,
AB538RQ,AB53 8RQ,AB,5.6,11.8,55.41,4.7,,47.0,47.0,,0.4,2.2,15.56,0.5,,11.0,11.0,,0,5,5,0,2,0,2,217.0,142.0,165.0,,478.0,478.0,,,
AB538RS,AB53 8RS,AB,39.8,28.4,51.68,5.5,,43.7,43.7,,9.4,6.1,10.0,0.5,,9.7,9.7,,0,1,1,0,3,0,3,164.0,139.0,236.0,,117.0,117.0,,,
AB538SJ,AB53 8SJ,AB,55.0,199.5,1000.0,3.5,,63.3,297.5,1000.0,10.0,26.1,115.0,0.5,,13.3,38.8,115.0,0,2,0,0,3,1,4,432.0,420.0,86.0,,518.0,497.0,433.0,,
AB544GA,AB54 4GA,AB,52.5,52.5,79.67,,,52.4,52.4,,10.0,10.3,18.85,,,10.3,10.3,,0,0,0,0,9,0,9,273.0,233.0,,,273.0,273.0,,,
AB544GD,AB54 4GD,AB,43.7,52.6,79.66,,,52.7,52.7,,13.2,12.8,20.0,,,12.9,12.9,,0,0,0,0,9,0,9,153.0,104.0,,,153.0,153.0,,,
AB544GF,AB54 4GF,AB,55.4,50.1,79.67,5.0,24.0,59.1,59.1,,13.1,12.0,20.0,1.0,1.0,14.9,14.9,,0,1,0,1,8,0,8,194.0,154.0,3.0,124.0,227.0,227.0,,,
AB544GH,AB54 4GH,AB,38.7,39.9,52.83,,24.0,42.7,42.7,,7.4,8.2,13.76,,7.0,8.5,8.5,,0,0,0,1,6,0,6,392.0,126.0,,15.0,455.0,455.0,,,
AB544GJ,AB54 4GJ,AB,39.5,44.5,78.12,,13.0,49.0,49.0,,7.0,8.8,20.0,,2.0,9.8,9.8,,0,0,0,2,14,0,14,820.0,633.0,,359.0,886.0,886.0,,,
AB544GL,AB54 4GL,AB,60.6,57.8,65.87,,,57.8,57.8,,13.6,14.7,19.53,,,14.8,14.8,,0,0,0,0,5,0,5,1589.0,1120.0,,,1589.0,1589.0,,,
AB544GQ,AB54 4GQ,AB,48.8,49.2,70.75,9.0,,53.2,53.2,,11.3,12.3,20.0,1.0,,13.4,13.4,,0,0,1,0,10,0,10,471.0,295.0,339.0,,485.0,485.0,,,
AB544GR,AB54 4GR,AB,39.8,44.6,54.78,,,44.6,44.6,,10.0,9.6,10.0,,,9.6,9.6,,0,0,0,0,5,0,5,289.0,259.0,,,289.0,289.0,,,
AB544HB,AB54 4HB,AB,43.5,43.6,78.04,4.5,18.3,50.3,50.3,,10.0,10.4,20.0,1.0,1.0,12.4,12.4,,1,0,1,3,23,0,23,515.0,259.0,36.0,240.0,592.0,592.0,,,
AB544HD,AB54 4HD,AB,54.8,50.0,72.08,,23.0,57.7,57.7,,10.0,11.2,19.53,,1.0,14.1,14.1,,0,0,0,2,7,0,7,284.0,175.0,,95.0,338.0,338.0,,,
AB544HJ,AB54 4HJ,AB,43.6,42.7,67.1,,27.5,47.8,47.8,,8.3,8.4,19.53,,4.8,9.7,9.7,,0,0,0,4,12,0,12,333.0,135.0,,223.0,369.0,369.0,,,
AB544HN,AB54 4HN,AB,3.4,3.7,6.34,3.7,,,,,0.4,0.5,0.73,0.5,,,,,1,6,3,0,0,0,0,82.0,52.0,74.0,,,,,,
AB544JA,AB54 4JA,AB,7.5,17.7,79.67,6.6,11.0,80.0,80.0,,1.2,3.7,20.0,1.0,1.0,20.0,20.0,,0,1,4,1,1,0,1,165.0,72.0,202.0,74.0,72.0,72.0,,,
AB544JF,AB54 4JF,AB,54.8,51.0,79.67,2.0,,63.0,63.0,,10.0,12.0,20.0,0.0,,15.0,15.0,,0,1,0,0,4,0,4,406.0,275.0,1.0,,507.0,507.0,,,
AB544JH,AB54 4JH,AB,5.7,5.5,6.89,5.4,,,,,0.4,0.5,0.89,0.6,,,,,0,2,5,0,0,0,0,153.0,110.0,153.0,,,,,,
