postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Latitude,Longitude
AB392RB,AB39 2RB,AB,32.3,29.1,39.06,8.0,21.8,35.7,35.7,,4.5,3.9,6.24,1.0,2.7,4.9,4.9,,0,0,1,9,13,0,13,645.0,524.0,67.0,476.0,757.0,757.0,,,
AB392RL,AB39 2RL,AB,19.3,17.7,24.41,9.0,19.2,,,,1.1,1.2,3.4,1.0,1.3,,,,0,0,2,12,0,0,0,321.0,155.0,63.0,337.0,,,,,
AB392RN,AB39 2RN,AB,19.2,19.2,22.68,,19.3,,,,2.1,2.1,3.41,,2.1,,,,0,0,0,8,0,0,0,258.0,108.0,,258.0,,,,,
AB392RP,AB39 2RP,AB,17.6,20.3,31.76,,15.8,31.5,31.5,,1.2,1.9,4.46,,1.0,4.0,4.0,,0,0,0,5,2,0,2,361.0,61.0,,170.0,838.0,838.0,,,
AB392SQ,AB39 2SQ,AB,43.3,43.3,57.66,,,43.3,43.3,,9.2,8.7,11.36,,,8.7,8.7,,0,0,0,0,6,0,6,631.0,570.0,,,632.0,632.0,,,
AB392SR,AB39 2SR,AB,47.7,49.0,79.65,7.0,,49.9,49.9,,14.5,14.1,20.0,1.0,,14.4,14.4,,0,0,1,0,45,0,45,381.0,198.0,102.0,,388.0,388.0,,,
AB392SS,AB39 2SS,AB,75.4,62.3,79.98,,19.0,67.8,67.8,,19.5,15.6,20.0,,1.0,17.4,17.4,,0,0,0,1,8,0,8,434.0,422.0,,840.0,383.0,383.0,,,
AB392ST,AB39 2ST,AB,42.0,40.3,57.75,3.0,25.8,45.7,45.7,,10.0,11.1,20.0,1.0,6.5,12.7,12.7,,0,1,0,4,18,0,18,588.0,383.0,240.0,623.0,600.0,600.0,,,
AB392TF,AB39 2TF,AB,35.0,32.8,61.87,7.0,22.5,38.8,38.8,,7.8,7.2,14.99,1.0,5.1,8.5,8.5,,0,1,5,16,54,0,54,395.0,268.0,75.0,580.0,369.0,369.0,,,
AB392TN,AB39 2TN,AB,4.1,3.9,5.64,3.8,,,,,0.5,0.6,1.03,0.7,,,,,1,3,2,0,0,0,0,124.0,93.0,103.0,,,,,,
AB392TP,AB39 2TP,AB,3.6,3.8,6.65,3.8,,,,,0.5,0.5,0.65,0.5,,,,,0,5,1,0,0,0,0,129.0,85.0,108.0,,,,,,
AB392TQ,AB39 2TQ,AB,14.3,12.3,16.02,7.8,15.0,,,,0.8,0.9,1.12,0.8,0.9,,,,0,1,4,8,0,0,0,325.0,175.0,144.0,357.0,,,,,
AB392TS,AB39 2TS,AB,2.5,2.5,3.29,2.4,,,,,0.5,0.6,1.0,0.6,,,,,1,4,0,0,0,0,0,51.0,47.0,41.0,,,,,,
AB392TT,AB39 2TT,AB,3.9,4.1,5.95,4.2,,,,,0.8,0.8,0.89,0.8,,,,,0,4,2,0,0,0,0,264.0,119.0,220.0,,,,,,
AB392TU,AB39 2TU,AB,7.3,8.8,18.24,6.7,15.0,,,,0.8,0.7,0.83,0.7,1.0,,,,0,1,5,2,0,0,0,164.0,144.0,186.0,97.0,,,,,
AB392TY,AB39 2TY,AB,41.8,43.7,78.12,6.7,21.0,52.9,52.9,,8.8,9.5,20.0,1.0,1.0,11.9,11.9,,0,1,2,2,17,0,17,466.0,282.0,111.0,586.0,514.0,514.0,,,
AB392UA,AB39 2UA,AB,70.5,58.3,79.91,,19.3,71.3,71.3,,15.0,12.0,20.0,,1.0,15.7,15.7,,0,0,0,4,12,0,12,416.0,158.0,,30.0,510.0,510.0,,,
AB392UD,AB39 2UD,AB,33.0,29.2,54.78,8.3,20.0,45.2,45.2,,7.8,5.9,10.0,0.7,4.5,9.4,9.4,,0,0,3,2,5,0,5,167.0,172.0,139.0,142.0,194.0,194.0,,,
AB392UE,AB39 2UE,AB,8.5,8.7,17.37,4.4,13.0,,,,0.8,0.8,1.34,0.6,1.0,,,,1,2,2,5,0,0,0,298.0,132.0,89.0,387.0,,,,,
AB392UF,AB39 2UF,AB,40.3,38.1,46.99,,21.0,42.3,42.3,,10.0,9.1,10.22,,7.0,9.8,9.8,,0,0,0,1,4,0,4,593.0,709.0,,709.0,564.0,564.0,,,
AB392UJ,AB39 2UJ,AB,26.1,25.3,45.51,8.5,17.0,40.3,40.3,,8.5,5.6,9.75,1.0,4.0,9.3,9.3,,0,0,2,3,4,0,4,322.0,280.0,28.0,611.0,252.0,252.0,,,
AB392UL,AB39 2UL,AB,39.8,41.2,68.83,5.0,20.2,46.4,46.4,,8.7,9.7,20.0,1.0,2.4,11.3,11.3,,0,0,1,5,27,0,27,225.0,136.0,56.0,115.0,252.0,252.0,,,
AB392UN,AB39 2UN,AB,17.5,19.7,39.84,8.8,18.7,34.3,34.3,,1.2,2.5,9.08,1.0,1.9,6.0,6.0,,0,0,4,15,4,0,4,301.0,197.0,170.0,352.0,238.0,238.0,,,
AB392WA,AB39 2WA,AB,56.2,50.9,79.67,10.0,13.4,62.4,62.4,,19.5,14.0,20.0,6.0,1.0,17.6,17.6,,0,0,1,5,20,0,20,255.0,164.0,203.0,113.0,294.0,294.0,,,
AB392WB,AB39 2WB,AB,52.8,49.6,75.61,,15.2,55.8,55.8,,18.7,14.9,20.0,,4.0,16.8,16.8,,0,0,0,5,28,0,28,594.0,308.0,,116.0,679.0,679.0,,,
AB392WD,AB39 2WD,AB,48.8,47.9,74.99,8.0,26.0,50.4,50.4,,13.7,13.7,20.0,1.0,7.0,14.4,14.4,,0,0,1,3,43,0,43,585.0,412.0,32.0,257.0,621.0,621.0,,,
AB392WE,AB39 2WE,AB,49.0,41.5,56.7,4.0,,47.8,47.8,,11.8,10.9,19.53,1.0,,12.7,12.7,,1,0,1,0,12,0,12,663.0,337.0,158.0,,748.0,748.0,,,
AB392WH,AB39 2WH,AB,48.9,48.4,79.51,7.0,13.9,54.1,54.1,,17.1,14.4,20.0,1.0,3.4,16.2,16.2,,0,0,1,7,50,0,50,575.0,436.0,220.0,198.0,624.0,624.0,,,
